cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
12000050001.0,MILTON WWTP,FL,Milton,30.633174,-87.038935,2.5,3234.941270278025,1340.519315469594,359.8992375922376,2041.172022606469,0.0,0.0,234.2069920158075,0.0,7210.738837962133,"['*C1', 'F1']",9463.52946
42003193001.0,ANTRIM TWP STP,PA,Greencastle,39.7458,-77.7858,1.05,1344.588367566347,174.8367905959479,149.9691022707548,271.4934189100994,0.0,0.0,131.4218170301778,0.0,2072.309496373327,['*A1'],3974.6823732000007
42005225001.0,MONACA BORO STP,PA,Monaca,40.6914,-80.2804,1.16,1485.450006073297,193.1530258012377,165.6801510800719,811.9979159494809,0.0,0.0,145.1898169095298,0.0,2801.470915813617,['*A1'],4391.07766944
42006086001.0,RIDGWAY BORO STP,PA,Ridgway,41.4195,-78.7498,2.2,1576.321307840631,368.7773751518536,314.3590412061261,34.00952769814789,38.67470688146365,8.728194132898974,269.8158365617969,0.0,2610.685989472918,"['*A1', '*A3', '*C1', '*C3']",8327.905924800001
55001000001.0,CHIPPEWA FALLS WWTP,WI,Chippewa Falls,44.9291,-91.4079,4.5,5802.976275502236,4085.46285075369,644.9333229890154,1731.376486059513,2429.658409153741,548.0311044351552,0.0,612.7400407620687,15855.17848965542,['*G1e'],17034.353028
9000420001.0,EAST HAMPTON WPCF,CT,East Hampton,41.5635,-72.5437,3.9,4994.185365246431,649.3937936420922,557.0280941485177,1540.555653188222,0.0,0.0,36.08099906849314,98.13052947683731,7875.374434770593,['*A1'],14763.105957599999
34001431001.0,Verona Township - CS/STP,NJ,Verona,40.8433411,-74.23532185,3.0,3838.25272887945,501.6250203776622,431.2613394074254,952.406392991071,0.0,0.0,375.490905800508,0.0,6099.036387456116,['*C1'],11356.235352000002
34002292001.0,Mendham Borough - CS/STP,NJ,Mendham,40.77859798,-74.62227036,0.4,510.5022848104227,407.5986730545748,57.31946942287997,192.6643391948433,0.0,0.0,50.06545410673441,0.0,1218.150220589455,['*E1'],1514.1647136000001
34003079002.0,Ocean County UA Central WPCF - CS/STP,NJ,Bayville,39.90755,-74.18002,28.0,36131.47035658893,4720.422297346373,4021.708077036757,5975.413873995386,0.0,0.0,1001.309082134688,2723.289070053639,54573.61275715577,['*A1e'],105991.52995200001
34005086001.0,Pennsville Township SA - CS/STP,NJ,Pennsville,39.63870028,-75.54179581,1.875,2398.907955549656,313.5156377360389,269.5383371296409,595.2539956194194,0.0,0.0,32.83050254403131,89.29006071923588,3699.336489298023,['*C1'],7097.647095
12000078001.0,BOCA RATON WWTF,FL,Boca Raton,26.3659,-80.1099,20.0,25611.20700126375,3330.22458277996,2856.554328966757,9307.536152655783,0.0,0.0,267.4414121330724,727.3680899697854,42100.3315677691,['*A1'],75708.23568
22000700004.0,AMBASSADOR CAFFERY STP,LA,Lafayette,30.16397,-92.05742,6.0,7690.215334077242,1012.63471033634,857.4166895981854,3939.872939134928,0.0,0.0,0.0,365.6841996971099,13865.82387284381,['A1'],22712.470704000003
12000510001.0,Wakulla County WWTF,FL,Crawfordville,30.079817,-84.415383,1.2,1536.672420075825,199.8134749667976,171.3932597380054,819.1431722925068,0.0,0.0,42.91324637720091,116.7123887165845,2886.64796216692,['*A1'],4542.4941408
39000602001.0,Bellefontaine WWTP & Sewer System,OH,Bellefontaine,40.3686,-83.7724,3.5,4472.428254558612,2075.858789834068,502.3417933794314,4039.394885373535,0.0,0.0,0.0,476.5755872593867,11566.59931040503,"['*C1', '*E1']",13248.941244000001
39001792001.0,Columbus Jackson Pike WWTP & Sewers,OH,Columbus,39.913,-83.0175,72.0,94214.55167490742,65174.91208198472,10379.92393953468,139919.09311108,0.0,0.0,0.0,0.0,309688.4808075068,['F1'],272549.648448
39005362001.0,Minster WWTP & Sewer System,OH,Minster,40.393,-84.3807,2.15,2747.348784943147,1275.170399469499,308.5813873616507,2481.342572443743,0.0,0.0,0.0,292.7535750307662,7105.196719248805,"['*C1', '*E1']",8138.635335599999
31001145001.0,HASTINGS WWTP,NE,Hastings,40.6115,-98.3509,3.68,4708.256680758793,615.3266916632657,529.0139096731085,906.6881819856222,0.0,0.0,460.6021777819566,0.0,7219.887641862746,['*C1'],13930.315365120001
27000171001.0,HOYT LAKES WWTP,MN,Hoyt Lakes,47.507,-92.15,0.68,870.0039518793423,113.7016712856035,97.75257026568309,450.7386075655107,0.0,0.0,0.0,92.59182838182376,1624.788629377963,['*C1'],2574.0800131200003
36003016001.0,Pawling (V) WWTP,NY,Pawling,41.573667,-73.594194,0.28,358.2369213620821,46.81833523524848,40.25105834469304,55.83559404329735,0.0,0.0,35.0458178747141,0.0,536.187726860035,['*C1'],1059.9152995200002
36004038002.0,Rotterdam (T) WWTP & Collection System Improvements,NY,Schenectady,42.80335,-73.98931,1.5,1919.126364439725,250.8125101888311,215.6306697037127,299.1192538033786,0.0,0.0,21.14674481409002,57.51340924287995,2763.348952192618,['*C1'],5678.117676000001
36005046001.0,Lake George (V) STP,NY,Lake George,43.409639,-73.717722,1.75,2238.980758513012,292.614595220303,251.5691146543315,348.9724627706084,0.0,0.0,56.27709589041096,0.0,3188.414027048666,['*C1'],6624.470622000001
6005053001.0,Fresno-Clovis Regional WRF,CA,Fresno,36.7061,-119.8903,68.0,87747.85658028739,11463.88272212691,9767.005329946413,10656.44723132041,0.0,0.0,0.0,8943.630859066685,128578.8227227478,['*A1e'],257408.00131200004
8000300001.0,LEFT HAND STP,CO,Boulder,40.13977,-105.28301,0.03,28.29568499734783,21.37049550272289,4.320442419798642,24.22710065695233,0.0,0.0,0.0,1.996530727777503,80.21025430459919,"['A1', 'L-u']",113.56235352
34002312001.0,Mount Olive Township - Clover Hill STP/CS,NJ,Flanders,40.8154,-74.711,0.5,640.2801750315937,83.255614569499,71.41385822416893,193.0482689318796,0.0,0.0,62.58181763341801,0.0,1050.579734390559,['*A1'],1892.7058920000002
34003099001.0,South Monmouth Regional CS/STP,NJ,Belmar,40.1673253,-74.04456127,9.8,12540.53332666116,1603.249029379863,1402.511121008774,1883.37553272637,0.0,0.0,54.67972258317026,148.7140120080152,17633.06274436735,['*C1e'],37097.0354832
12000065004.0,Clearwater Northeast WRF,FL,Clearwater,28.0271,-82.701,13.5,17452.03397045824,2259.377690265626,1932.815443502115,7252.634029325805,0.0,0.0,0.0,687.9614590662536,29584.82259261804,['A1e'],51103.059084
12000089001.0,ST ANDREWS WWTF,FL,Panama City,30.1891,-85.7064,5.0,6402.801750315936,832.55614569499,714.1385822416892,3183.348025952159,0.0,0.0,625.8181763341801,0.0,11758.66268053895,['*A1'],18927.05892
12000245001.0,Bonifay WWTF,FL,Bonifay,30.790386,-85.672244,1.4,1791.984548449436,233.6036984854198,200.6070473755691,812.1208929042467,0.0,0.0,175.2290893735704,0.0,3213.545276588242,"['*A1', '*C1']",5299.5764976
21000159001.0,BARDSTOWN WWTP,KY,Bardstown,37.7961,-85.4703,3.0,1919.126364439725,2525.494911196035,428.5969387837125,3899.09625782038,0.0,0.0,0.0,301.6627637341437,9073.977235973996,"['*C1', 'L-a']",11356.235352000002
55004730001.0,SUPERIOR WWTP,WI,Superior,46.7269,-92.0721,7.6,9699.543411398032,7744.374788036921,1089.069919034719,3022.268634852147,0.0,0.0,0.0,1034.849846620383,22590.1065999422,['*E1'],28769.1295584
36009130001.0,"Perry (V), WWTP",NY,Perry,42.720139,-77.984778,0.97,1241.035049004356,162.1920899221108,139.4411664084009,193.4304507928515,0.0,0.0,121.4087262088309,0.0,1857.50748233655,['*C1'],3671.84943048
17000170001.0,Eldorado WTF,IL,Eldorado,37.8214,-88.4497,0.7,738.6858677604789,371.4452094050631,100.7494307063342,606.6994848221625,0.0,0.0,57.75286517422976,0.0,1875.332857868268,"['A1', '*C1', 'L-u']",2649.7882488
