plant_index,state,flow_m3_per_day,median_bootstrap_all,p2_5_bootstrap_all,p97_5_bootstrap_all,mean_bootstrap_all,elec_mu_usd_per_kwh_bootstrap_all,ng_mu_usd_per_mj_bootstrap_all,median_bootstrap_biogas,p2_5_bootstrap_biogas,p97_5_bootstrap_biogas,mean_bootstrap_biogas,elec_mu_usd_per_kwh_bootstrap_biogas,ng_mu_usd_per_mj_bootstrap_biogas,median_heavy_tail,p2_5_heavy_tail,p97_5_heavy_tail,mean_heavy_tail,elec_mu_usd_per_kwh_heavy_tail,ng_mu_usd_per_mj_heavy_tail
45,CA,105991.529952,169121.1875563953,5801.795293936471,964984.8994846413,255734.79048199177,0.1864,0.012847577090502956,82623.70558515957,23107.557665573564,642511.1157433919,124510.37203525755,0.1864,0.012847577090502956,51086.02111393819,10484.792407552914,248939.0204633678,71374.88349875943,0.1864,0.012847577090502956
46,WI,202898.0716224,151038.85360975907,5263.314310887958,871755.7258763422,232888.46300517148,0.0868,0.006263992810294974,75191.90083529828,20339.4515593809,615168.2718964857,116856.68652094426,0.0868,0.006263992810294974,46861.81113842837,8864.030939679886,229120.41664906486,64533.07413396053,0.0868,0.006263992810294974
47,WI,11602.28711796,8283.427656431988,260.71111523977675,48362.2645266486,12773.512855930565,0.0868,0.006263992810294974,4269.7222274884025,1202.2319298268128,33613.83911704475,6564.92720014474,0.0868,0.006263992810294974,2631.7394725282174,521.2867495810551,13043.628552641378,3703.8600359727902,0.0868,0.006263992810294974
48,OH,340687.06056,215727.32490741232,7987.2711496175,1292129.3041562499,332674.79625498946,0.0703,0.007067537077504825,112182.78335606368,30730.63392492787,906283.9306873993,173973.7551533744,0.0703,0.007067537077504825,70655.65344514542,14066.77432249608,346361.0529840379,97333.85645730536,0.0703,0.007067537077504825
49,MI,189270.5892,143571.7812449687,4977.110583507646,824633.6215791287,218550.0735275053,0.0816,0.007761507126458787,72036.30193534259,19497.710680558706,580452.5103626082,111699.15429216025,0.0816,0.007761507126458787,44181.20395040184,8617.173281243564,216909.01194815105,61501.837083029415,0.0816,0.007761507126458787
50,MI,57916.80029520001,42330.39512128487,1535.0214763569693,248435.17771019525,64347.83569908197,0.0816,0.007761507126458787,21721.289942646872,6063.044994488273,173626.68679696778,33361.72732159308,0.0816,0.007761507126458787,13200.213521385398,2743.3137593877223,64466.39694504121,18634.249982874295,0.0816,0.007761507126458787
51,IL,30283.294272000003,21266.747641296653,799.0687691105966,125082.04615773036,33046.925994820405,0.08199999999999999,0.00683925745613839,10844.051431539145,2979.9521875656756,87988.9464610094,16742.252586249775,0.08199999999999999,0.00683925745613839,6846.5281371214605,1350.5453066137609,33399.032029552734,9541.17902212371,0.08199999999999999,0.00683925745613839
52,IL,151416.47136,110582.17008236621,3946.6063164524994,630782.0255975934,169597.278493407,0.08199999999999999,0.00683925745613839,54670.713880087606,14802.515257358515,442973.43791809026,84643.77213558432,0.08199999999999999,0.00683925745613839,33682.16097355226,7115.29279237003,175165.0976447433,47915.55582592907,0.08199999999999999,0.00683925745613839
53,WA,340.68706056,225.72551576265624,8.22282717684564,1344.9589460534517,355.69532529457945,0.0635,0.010391288364600118,120.31080781287599,33.366969744115465,981.5260744228278,188.46132018971784,0.0635,0.010391288364600118,74.17043625242849,14.564814425757024,365.68717841695735,103.11564231997372,0.0635,0.010391288364600118
54,CA,25362.2589528,38908.10623498286,1501.94301887426,228738.42591156985,60332.832386036156,0.1864,0.012847577090502956,20017.58100880189,5350.374000655575,158974.0346452225,30519.084048705714,0.1864,0.012847577090502956,12450.421505277242,2583.477215863628,63438.083581622996,17443.666769182368,0.1864,0.012847577090502956
55,CA,49210.353192,75647.65897313846,2740.071654235415,445289.9950760203,117407.8459648164,0.1864,0.012847577090502956,38669.91684173577,10716.505589905659,307093.98266173346,59365.24565038426,0.1864,0.012847577090502956,23982.282864010456,4886.642023941566,119309.70997101998,33701.47415711096,0.1864,0.012847577090502956
56,NY,17034.353028,11732.167147656459,415.66344712213896,69508.63387578077,18119.421104236993,0.0687,0.009496432248843693,6020.341669499823,1658.064345812276,48371.00489200331,9256.095961489142,0.0687,0.009496432248843693,3795.9905717293072,757.1284503122524,18428.940140617062,5265.862562770955,0.0687,0.009496432248843693
57,NM,51103.059084,25830.41663817258,938.1258351564912,148881.85406966507,39440.273559554174,0.0575,0.004611248351601985,12959.083578021626,3589.130155048626,104852.17794728081,19960.01211497951,0.0575,0.004611248351601985,7862.685549192051,1601.4399797171322,39559.79574667362,11036.789206521446,0.0575,0.004611248351601985
58,CA,112048.1888064,168634.26031050188,5833.343793260149,1006766.7449849182,264041.66869853233,0.1864,0.012847577090502956,88081.36108072616,23648.245670476666,703048.2279376563,136881.65069576295,0.1864,0.012847577090502956,54695.55031622527,11439.467853622751,274042.0361583475,76745.23787137223,0.1864,0.012847577090502956
59,CA,302832.94272,467040.5556766216,15649.220292067372,2738513.0144004324,719145.0984362358,0.1864,0.012847577090502956,238404.97828829015,64535.28795484549,1918816.6634081935,363219.45719847386,0.1864,0.012847577090502956,145827.8533088349,31319.88354745784,721527.4511943813,203068.6173683048,0.1864,0.012847577090502956
60,VT,12491.858887199998,11142.170768532249,386.7491895193044,62681.941479114816,16591.36307425248,0.1127,0.005195644182300059,5480.38901507479,1522.883132606487,45010.01899210078,8442.029180592786,0.1127,0.005195644182300059,3387.644091162866,680.1791091468032,16657.11328970854,4722.139437001662,0.1127,0.005195644182300059
61,WA,43153.694337600005,30047.07016145256,1000.4217983752268,174670.80421718335,46182.697166465055,0.0635,0.010391288364600118,15236.25310989478,4122.638895874612,123271.29390733255,23646.924146917812,0.0635,0.010391288364600118,9547.577121973427,1860.2026446073294,44802.13596387647,12967.365173818702,0.0635,0.010391288364600118
62,WI,45424.941408000006,33932.86503899084,1182.5430788674933,195862.50472486057,51182.40073134348,0.0868,0.006263992810294974,16891.55519286872,4660.425409102263,133568.94442343304,26074.83021394448,0.0868,0.006263992810294974,10342.088806474301,2100.9864944888973,51997.029736691286,14545.702492421819,0.0868,0.006263992810294974
63,WI,31040.3766288,22573.570920438302,843.0713320339967,133372.61222404128,34777.41428402694,0.0868,0.006263992810294974,11542.595957361349,3208.1342738063686,92774.16774502528,18014.833618971967,0.0868,0.006263992810294974,7091.022066090806,1380.8950963545778,35408.28197064311,9956.176234583405,0.0868,0.006263992810294974
64,NH,60566.588544000006,82422.32531306299,2840.402222757631,477069.5178621875,125081.2448463388,0.1576,0.012107951117275707,41243.85305205964,11455.104190062251,329183.4868789061,64525.906616555214,0.1576,0.012107951117275707,24988.505054686924,5007.934859482995,126952.99846258762,35226.305650211296,0.1576,0.012107951117275707
65,CA,20819.764812,32610.634154608735,1164.547533151929,187933.07878497208,50205.035395375766,0.1864,0.012847577090502956,16446.874628049678,4408.393821243558,134401.89562887713,25562.73906752583,0.1864,0.012847577090502956,10082.374130101245,2065.6351022222716,50824.30961428866,14112.860095990938,0.1864,0.012847577090502956
66,CA,51103.059084,79684.12923172809,2936.857240325442,470616.9903453801,122884.71781934018,0.1864,0.012847577090502956,40144.310406506585,10867.799706987416,320055.14888494666,62317.67771106533,0.1864,0.012847577090502956,25303.143509337184,4987.322264703926,127669.3143158059,35324.42992289374,0.1864,0.012847577090502956
67,CA,52995.764976000006,81364.6520543016,2849.329371093116,474567.5737415266,125049.75277767825,0.1864,0.012847577090502956,41904.57183143216,11457.839519988513,338189.49756075925,64283.3790185433,0.1864,0.012847577090502956,25999.0160044858,5204.71220242892,128892.85298153221,36385.17971935128,0.1864,0.012847577090502956
68,WI,12113.3177088,8702.937790467467,295.90200289522573,52743.254307273324,13590.667104696486,0.0868,0.006263992810294974,4483.088994363054,1206.0932042683694,34722.15721934496,6805.662817272991,0.0868,0.006263992810294974,2768.43058594564,573.665502839969,13623.545428095942,3867.586102420435,0.0868,0.006263992810294974
