cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
6009074001.0,Santa Margarita Water District (Oso Creek WRP),CA,Mission Viejo,33.5967,-117.6558,3.0,3855.083870122544,498.2750255282286,430.1187165262713,591.6577262899527,0.0,0.0,107.2831159430023,291.7809717914613,5774.199426201461,"['*A1e', '*C1e']",11356.235352000002
36002001013.0,New York (C) - Oakwood Beach WPCP,NY,Staten Island,40.5484,-74.1123,40.0,51977.84382900276,39809.71882952831,5797.766784998175,8043.445216856599,0.0,0.0,431.7652602739726,1174.284379430818,107234.8243000906,['*E1e'],151416.47136
41000063001.0,PENDLETON STP,OR,Pendleton,45.6684,-118.8398,5.5,7146.953526487879,5473.836339060143,797.1929329372491,812.800789197441,0.0,0.0,0.0,748.9044942647506,14979.68808194746,['*E1e'],20819.764812
41000015001.0,GRESHAM STP,OR,Portland,45.5596,-122.4599,17.0,21936.96414507185,2865.970680531726,2441.751332486603,1674.751031159955,0.0,0.0,0.0,824.0063893270955,29743.44357857723,['*A1e'],64352.00032800001
49000094001.0,CENTRAL VALLEY WRF,UT,Salt Lake City,40.7081,-111.9159,75.0,95973.46933669255,12269.76297994793,10733.50347710796,37950.4022114488,0.0,0.0,0.0,2856.421661418896,159783.5596666161,['*C1e'],283905.8838
6004009003.0,LACSD (San Jose Creek WRP),CA,Whittier,34.0322,-118.0212,100.0,129878.0108717769,89858.28663729208,14209.0423711407,54526.23537648959,0.0,0.0,1777.198809880286,4833.498647531795,295082.2727141114,['F1e'],378541.17840000003
6004010003.0,L.A.-Glendale WRP,CA,Los Angeles,34.1412,-118.2731,20.0,25988.92191450138,19904.85941476416,2898.883392499088,6226.634321906397,0.0,0.0,715.2207729533487,1945.206478609742,57679.72629523411,['*E1e'],75708.23568
55002430001.0,KIEL STP,WI,Kiel,43.9207,-88.0221,1.29,1676.285463485339,1283.863432252288,186.9779788161912,370.2674934011939,0.0,0.0,0.0,175.6521450184597,3693.046512973472,['*E1e'],4883.18120136
6008033001.0,Michelson WRP,CA,Irvine,33.6707,-117.8348,28.0,36131.47035658893,4720.422297346373,4021.708077036757,5811.139515577935,0.0,0.0,0.0,1763.137812622235,52447.87805917222,['*A1e'],105991.52995200001
55002781001.0,MADISON MSD STP,WI,Madison,43.0343,-89.3463,53.6,69119.89519264885,48662.40195564395,7681.872469380273,43206.9353005392,28939.93127347567,6527.659377272072,0.0,7298.414707743754,211437.1102767038,['*G1e'],202898.0716224
55004720002.0,SUN PRAIRIE STP,WI,Sun Prairie,43.153,-89.2369,3.065,3952.471618758745,2782.654141680013,439.2712522136294,2470.695087614788,1654.867338679159,373.2700744652779,0.0,417.3440499857202,12090.57356339733,['*G1e'],11602.28711796
39000084001.0,Akron WWTP & Sewers,OH,Akron,41.155,-81.5662,90.0,116950.1486152562,89571.8673664387,13044.9752662459,24264.78260911583,0.0,0.0,0.0,0.0,243831.7738570566,['*E1e'],340687.06056
26000411001.0,FLINT WPCF,MI,Flint,43.044,-83.7701,50.0,64477.30883869091,28970.99526177117,7201.438732993181,32893.56674002472,0.0,0.0,0.0,0.0,133543.30957348,"['*C1e', '*E1e']",189270.58920000002
